tiempo_ms,distancia_mm,x_mm,y_mm
41,207.00,2.05,207.00
133,226.00,6.65,226.00
226,213.00,11.30,213.00
318,215.00,15.90,215.00
410,218.00,20.50,218.00
504,204.00,25.20,204.00
596,191.00,29.80,191.00
688,200.00,34.40,200.00
781,193.00,39.05,193.00
873,197.00,43.65,197.00
965,188.00,48.25,188.00
1059,183.00,52.95,183.00
1151,178.00,57.55,178.00
1243,173.00,62.15,173.00
1336,170.00,66.80,170.00
1428,165.00,71.40,165.00
1520,159.00,76.00,159.00
1614,156.00,80.70,156.00
1706,151.00,85.30,151.00
1799,148.00,89.95,148.00
1891,149.00,94.55,149.00
1983,148.00,99.15,148.00
2076,147.00,103.80,147.00
2169,142.00,108.45,142.00
2262,141.00,113.10,141.00
2354,145.00,117.70,145.00
2447,138.00,122.35,138.00
2539,141.00,126.95,141.00
2631,140.00,131.55,140.00
2725,137.00,136.25,137.00
2817,138.00,140.85,138.00
2910,140.00,145.50,140.00
3002,136.00,150.10,136.00
3095,139.00,154.75,139.00
3187,134.00,159.35,134.00
3281,138.00,164.05,138.00
3373,133.00,168.65,133.00
3465,138.00,173.25,138.00
3558,136.00,177.90,136.00
3650,140.00,182.50,140.00
3743,138.00,187.15,138.00
3836,137.00,191.80,137.00
3929,139.00,196.45,139.00
4021,138.00,201.05,138.00
4113,136.00,205.65,136.00
4206,136.00,210.30,136.00
4298,139.00,214.90,139.00
4392,136.00,219.60,136.00
4484,137.00,224.20,137.00
4577,135.00,228.85,135.00
4669,139.00,233.45,139.00
4762,137.00,238.10,137.00
4854,141.00,242.70,141.00
4947,140.00,247.35,140.00
5040,139.00,252.00,139.00
5132,146.00,256.60,146.00
5225,143.00,261.25,143.00
5317,142.00,265.85,142.00
5411,140.00,270.55,140.00
5503,140.00,275.15,140.00
5595,142.00,279.75,142.00
5688,141.00,284.40,141.00
5780,143.00,289.00,143.00
5873,141.00,293.65,141.00
5966,141.00,298.30,141.00
6059,141.00,302.95,141.00
6151,141.00,307.55,141.00
6244,142.00,312.20,142.00
6336,147.00,316.80,147.00
6428,147.00,321.40,147.00
6522,145.00,326.10,145.00
6614,145.00,330.70,145.00
6707,148.00,335.35,148.00
6799,146.00,339.95,146.00
6892,147.00,344.60,147.00
6984,149.00,349.20,149.00
7078,151.00,353.90,151.00
7170,151.00,358.50,151.00
7262,152.00,363.10,152.00
7355,154.00,367.75,154.00
7447,156.00,372.35,156.00
7540,157.00,377.00,157.00
7633,158.00,381.65,158.00
7726,162.00,386.30,162.00
7818,164.00,390.90,164.00
7911,163.00,395.55,163.00
8003,166.00,400.15,166.00
8095,168.00,404.75,168.00
8189,171.00,409.45,171.00
8281,173.00,414.05,173.00
8374,177.00,418.70,177.00
8466,180.00,423.30,180.00
8559,181.00,427.95,181.00
8651,184.00,432.55,184.00
8745,187.00,437.25,187.00
8837,186.00,441.85,186.00
8929,193.00,446.45,193.00
9022,190.00,451.10,190.00
9114,192.00,455.70,192.00
9208,197.00,460.40,197.00
9300,205.00,465.00,205.00
9393,208.00,469.65,208.00
9485,206.00,474.25,206.00
9577,216.00,478.85,216.00
9670,215.00,483.50,215.00
9763,211.00,488.15,211.00
9856,233.00,492.80,233.00
